"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000359215 (pp) 9606.ENSP00000361423","false","pp","9606.ENSP00000359215 (pp) 9606.ENSP00000361423","0.0","0.0","0.0","0.048","0.0",,"0.0","0.756","0.755"
"pp","9606.ENSP00000411013 (pp) 9606.ENSP00000444586","false","pp","9606.ENSP00000411013 (pp) 9606.ENSP00000444586","0.0","0.0","0.0","0.045","0.0",,"0.0","0.707","0.705"
"pp","9606.ENSP00000358794 (pp) 9606.ENSP00000367608","false","pp","9606.ENSP00000358794 (pp) 9606.ENSP00000367608","0.047","0.0","0.0","0.0","0.0",,"0.0","0.886","0.886"
"pp","9606.ENSP00000358794 (pp) 9606.ENSP00000416293","false","pp","9606.ENSP00000358794 (pp) 9606.ENSP00000416293","0.051","0.0","0.0","0.0","0.0",,"0.0","0.777","0.775"
"pp","9606.ENSP00000358565 (pp) 9606.ENSP00000379839","false","pp","9606.ENSP00000358565 (pp) 9606.ENSP00000379839","0.042","0.0","0.0","0.0","0.0",,"0.0","0.76","0.76"
"pp","9606.ENSP00000358547 (pp) 9606.ENSP00000494689","false","pp","9606.ENSP00000358547 (pp) 9606.ENSP00000494689","0.054","0.0","0.8","0.145","0.0",,"0.0","0.857","0.219"
"pp","9606.ENSP00000361554 (pp) 9606.ENSP00000369375","false","pp","9606.ENSP00000361554 (pp) 9606.ENSP00000369375","0.451","0.079","0.0","0.292","0.0",,"0.0","0.827","0.574"
"pp","9606.ENSP00000361554 (pp) 9606.ENSP00000480043","false","pp","9606.ENSP00000361554 (pp) 9606.ENSP00000480043","0.045","0.0","0.0","0.042","0.0",,"0.0","0.756","0.754"
"pp","9606.ENSP00000358464 (pp) 9606.ENSP00000419060","false","pp","9606.ENSP00000358464 (pp) 9606.ENSP00000419060","0.082","0.0","0.4","0.1","0.0",,"0.0","0.857","0.745"
"pp","9606.ENSP00000358464 (pp) 9606.ENSP00000381958","false","pp","9606.ENSP00000358464 (pp) 9606.ENSP00000381958","0.042","0.0","0.0","0.1","0.0",,"0.0","0.792","0.778"
"pp","9606.ENSP00000358464 (pp) 9606.ENSP00000417273","false","pp","9606.ENSP00000358464 (pp) 9606.ENSP00000417273","0.179","0.0","0.72","0.045","0.0",,"0.0","0.784","0.135"
"pp","9606.ENSP00000357844 (pp) 9606.ENSP00000444149","false","pp","9606.ENSP00000357844 (pp) 9606.ENSP00000444149","0.058","0.0","0.0","0.0","0.0",,"0.0","0.828","0.825"
"pp","9606.ENSP00000357308 (pp) 9606.ENSP00000360133","false","pp","9606.ENSP00000357308 (pp) 9606.ENSP00000360133","0.162","0.0","0.8","0.8","0.0",,"0.0","0.993","0.833"
"pp","9606.ENSP00000356853 (pp) 9606.ENSP00000362481","false","pp","9606.ENSP00000356853 (pp) 9606.ENSP00000362481","0.116","0.0","0.938","0.818","0.897",,"0.095","0.999","0.682"
"pp","9606.ENSP00000355517 (pp) 9606.ENSP00000378782","false","pp","9606.ENSP00000355517 (pp) 9606.ENSP00000378782","0.122","0.0","0.0","0.0","0.0",,"0.0","0.83","0.814"
"pp","9606.ENSP00000354927 (pp) 9606.ENSP00000358335","false","pp","9606.ENSP00000354927 (pp) 9606.ENSP00000358335","0.07","0.0","0.0","0.524","0.0",,"0.0","0.783","0.548"
"pp","9606.ENSP00000354927 (pp) 9606.ENSP00000451828","false","pp","9606.ENSP00000354927 (pp) 9606.ENSP00000451828","0.128","0.0","0.0","0.07","0.0",,"0.0","0.736","0.701"
"pp","9606.ENSP00000363394 (pp) 9606.ENSP00000370635","false","pp","9606.ENSP00000363394 (pp) 9606.ENSP00000370635","0.045","0.0","0.0","0.0","0.0",,"0.0","0.717","0.715"
