"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","HGNC","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","source","Stress","target","TopologicalCoefficient"
"3.9863013698630136","0.0037263402821871958","0.2508591065292096","0.0","8","8","BCR","false","613","9.25","0","8","0","0.9336377473363775","false","0","613","BCR_HUMAN","21356","BCR_HUMAN","0.15865384615384615"
"3.863013698630137","0.0059029595234431674","0.25886524822695034","0.01282051282051282","13","7","FBXW11","false","23291","8.153846153846153","0","13","0","0.9363774733637749","false","0","23291","FBW1B_HUMAN","39602","FBW1B_HUMAN","0.10010537407797682"
"4.548923679060666","1.1691220834460177E-4","0.2198322219832222","0.0","2","8","SERPINB8","false","5271","9.5","0","2","0","0.9211350293542074","false","0","5271","SPB8_HUMAN","700","SPB8_HUMAN","0.5"
"3.7847358121330723","0.007886554075744375","0.2642192347466391","0.03636363636363636","11","8","NFKB1","false","4790","15.0","0","11","0","0.9381169819525984","false","0","4790","NFKB1_HUMAN","42226","NFKB1_HUMAN","0.12172573189522343"
"5.3561643835616435","2.617434005332979E-4","0.18670076726342713","0.0","2","9","RBFA","false","79863","6.5","0","2","0","0.9031963470319635","false","0","79863","RBFA_HUMAN","760","RBFA_HUMAN","0.5"
"7.325831702544031","0.0","0.13650327233872045","0.0","1","11","SLC12A6","false","9990","2.0","0","1","0","0.8594259621656882","false","0","9990","S12A6_HUMAN","0","S12A6_HUMAN","0.0"
"3.7788649706457926","5.287609095497395E-4","0.26462972553081304","0.38095238095238093","7","8","CFL2","false","1073","26.857142857142858","0","7","0","0.9382474450967602","false","0","1073","COF2_HUMAN","7048","COF2_HUMAN","0.23767383059418457"
"5.088062622309198","0.005859341308068717","0.19653846153846152","0.0","2","9","MIOS","false","54468","7.5","0","2","0","0.9091541639486845","false","0","54468","MIO_HUMAN","35178","MIO_HUMAN","0.5"
"3.888454011741683","0.0012796824094321781","0.2571716155007549","0.0","4","7","SH3GL2","false","6456","17.75","0","4","0","0.935812133072407","false","0","6456","SH3G2_HUMAN","8352","SH3G2_HUMAN","0.2701612903225806"
"3.882583170254403","0.007981775803363844","0.25756048387096775","0.0","8","7","TUBA1A","false","7846","8.625","0","8","0","0.9359425962165687","false","0","7846","TBA1A_HUMAN","35076","TBA1A_HUMAN","0.1314655172413793"
"4.532289628180039","0.0","0.22063903281519862","0.0","1","8","CIAO1","false","9391","21.0","0","1","0","0.9215046749293325","false","0","9391","CIAO1_HUMAN","0","CIAO1_HUMAN","0.0"
"6.191780821917808","0.0","0.16150442477876106","0.0","1","10","MRPL46","false","26589","4.0","0","1","0","0.884627092846271","false","0","26589","RM46_HUMAN","0","RM46_HUMAN","0.0"
"4.322896281800391","0.001843865725714162","0.23132639203259395","0.0","6","8","ARHGEF2","false","9181","6.166666666666667","0","6","0","0.9261578604044358","false","0","9181","ARHG2_HUMAN","8644","ARHG2_HUMAN","0.18452380952380953"
"3.940313111545988","0.003125129583375821","0.25378693816737025","0.0","7","8","PSMB1","false","5689","12.857142857142858","0","7","0","0.9346597086323113","false","0","5689","PSB1_HUMAN","20092","PSB1_HUMAN","0.17697228144989338"
"4.075342465753424","0.009850540420022466","0.24537815126050422","0.0","9","8","CREB1","false","1385","6.111111111111111","0","9","0","0.9316590563165906","false","0","1385","CREB1_HUMAN","50448","CREB1_HUMAN","0.12777777777777777"
"5.0587084148727985","9.775152329457135E-4","0.197678916827853","0.0","2","9","APH1A","false","51107","7.0","0","2","0","0.9098064796694934","false","0","51107","APH1A_HUMAN","11924","APH1A_HUMAN","0.5454545454545454"
"4.263209393346379","0.004495799307034251","0.23456506770713795","0.0","4","8","CCDC33","false","80125","9.0","0","4","0","0.9274842357034138","false","0","80125","CCD33_HUMAN","27226","CCD33_HUMAN","0.27586206896551724"
"6.267123287671233","0.0","0.15956284153005462","0.0","1","10","PRKRA","false","8575","2.0","0","1","0","0.8829528158295281","false","0","8575","PRKRA_HUMAN","0","PRKRA_HUMAN","0.0"
"4.8317025440313115","3.0174617358850916E-4","0.2069663831510733","0.0","3","9","KDM5A","false","5927","7.0","0","3","0","0.914851054577082","false","0","5927","KDM5A_HUMAN","1256","KDM5A_HUMAN","0.35294117647058826"
"4.174168297455969","5.460199903660967E-4","0.23956868260665726","0.0","4","8","PTK2B","false","2185","16.5","0","4","0","0.9294629267232006","false","0","2185","FAK2_HUMAN","6178","FAK2_HUMAN","0.40789473684210525"
"4.834637964774951","0.0","0.20684072050192268","0.0","1","9","PPM1F","false","9647","6.0","0","1","0","0.9147858230050011","false","0","9647","PPM1F_HUMAN","0","PPM1F_HUMAN","0.0"
"6.157534246575342","0.0","0.16240266963292546","0.0","1","10","PON1","false","5444","3.0","0","1","0","0.8853881278538812","false","0","5444","PON1_HUMAN","0","PON1_HUMAN","0.0"
"4.344422700587084","4.531838090837201E-4","0.2301801801801802","0.0","2","8","ACAA2","false","10449","12.5","0","2","0","0.9256794955425093","false","0","10449","THIM_HUMAN","4500","THIM_HUMAN","0.5"
"3.9794520547945207","0.0027483400190279287","0.2512908777969019","0.0","2","7","PTGDS","false","5730","30.0","0","2","0","0.9337899543378996","false","0","5730","PTGDS_HUMAN","14224","PTGDS_HUMAN","0.5"
"4.533268101761252","0.008283626950254665","0.22059140945391756","0.0","5","8","BPNT1","false","10380","4.4","0","5","0","0.9214829310719722","false","0","10380","BPNT1_HUMAN","38718","BPNT1_HUMAN","0.2"
"4.35812133072407","0.0029395556798393206","0.22945666816344862","0.0","5","8","NR4A1","false","3164","8.8","0","5","0","0.9253750815394651","false","0","3164","NR4A1_HUMAN","14836","NR4A1_HUMAN","0.22285714285714286"
"4.5724070450097845","0.003231826384439694","0.21870318852985235","0.0","3","8","AXL","false","558","7.666666666666667","0","3","0","0.9206131767775604","false","0","558","UFO_HUMAN","13156","UFO_HUMAN","0.3333333333333333"
"4.045988258317025","0.00400483380481469","0.24715840386940752","0.027777777777777776","9","7","PPP2R2A","false","5520","5.555555555555555","0","9","0","0.9323113720373994","false","0","5520","2ABA_HUMAN","18268","2ABA_HUMAN","0.1225071225071225"
"5.64187866927593","0.004359249706242566","0.17724592438432188","0.0","5","9","SLC7A1","false","6541","2.6","0","5","0","0.8968471406827571","false","0","6541","CTR1_HUMAN","23068","CTR1_HUMAN","0.22857142857142856"
"5.477495107632094","0.0020162636454988253","0.18256520185780636","0.0","3","9","POTEF","false","728378","2.0","0","3","0","0.9005001087192868","false","0","728378",,"9516","POTEF_HUMAN","0.3333333333333333"
"5.117416829745597","0.0","0.19541108986615677","0.0","1","9","RGS3","false","5998","5.0","0","1","0","0.9085018482278757","false","0","5998","RGS3_HUMAN","0","RGS3_HUMAN","0.0"
