input	symbol	entrez_id	name	status
KCNQ4	KCNQ4	9132	potassium voltage-gated channel subfamily Q member 4	ok
SLC22A9	SLC22A9	114571	solute carrier family 22 member 9	ok
JAK3	JAK3	3718	Janus kinase 3	ok
KCND2	KCND2	3751	potassium voltage-gated channel subfamily D member 2	ok
KCND1	KCND1	3750	potassium voltage-gated channel subfamily D member 1	ok
SLC2A3	SLC2A3	6515	solute carrier family 2 member 3	ok
CXCL8	CXCL8	3576	C-X-C motif chemokine ligand 8	ok
PSEN1	PSEN1	5663	presenilin 1	ok
CYP7B1	CYP7B1	9420	cytochrome P450 family 7 subfamily B member 1	ok
CYP51A1	CYP51A1	1595	cytochrome P450 family 51 subfamily A member 1	ok
PON3	PON3	5446	paraoxonase 3	ok
PON1	PON1	5444	paraoxonase 1	ok
POMK	POMK	84197	protein O-mannose kinase	ok
PON2	PON2	5445	paraoxonase 2	ok
DSTYK	DSTYK	25778	dual serine/threonine and tyrosine protein kinase	ok
PACSIN2	PACSIN2	11252	protein kinase C and casein kinase substrate in neurons 2	ok
PANX1	PANX1	24145	pannexin 1	ok
FGFR2	FGFR2	2263	fibroblast growth factor receptor 2	ok
INTS6	INTS6	26512	integrator complex subunit 6	ok
RIPK1	RIPK1	8737	receptor interacting serine/threonine kinase 1	ok
KCNMB1	KCNMB1	3779	potassium calcium-activated channel subfamily M regulatory beta subunit 1	ok
INSL3	INSL3	3640	insulin like 3	ok
PACRGL	PACRGL	133015	parkin coregulated like	ok
IL2RB	IL2RB	3560	interleukin 2 receptor subunit beta	ok
CALCR	CALCR	799	calcitonin receptor	ok
RET	RET	5979	ret proto-oncogene	ok
CALML3	CALML3	810	calmodulin like 3	ok
CALY	CALY	50632	calcyon neuron specific vesicular protein	ok
SCN4B	SCN4B	6330	sodium voltage-gated channel beta subunit 4	ok
MPZL3	MPZL3	196264	myelin protein zero like 3	ok
CYP26B1	CYP26B1	56603	cytochrome P450 family 26 subfamily B member 1	ok
INVS	INVS	27130	inversin	ok
GSTA1	GSTA1	2938	glutathione S-transferase alpha 1	ok
ABI1	ABI1	10006	abl interactor 1	ok
CYP26C1	CYP26C1	340665	cytochrome P450 family 26 subfamily C member 1	ok
FGFR4	FGFR4	2264	fibroblast growth factor receptor 4	ok
RXRB	RXRB	6257	retinoid X receptor beta	ok
TAF6	TAF6	6878	TATA-box binding protein associated factor 6	ok
RXRG	RXRG	6258	retinoid X receptor gamma	ok
KCNU1	KCNU1	157855	potassium calcium-activated channel subfamily U member 1	ok
FGFR3	FGFR3	2261	fibroblast growth factor receptor 3	ok
IL18R1	IL18R1	8809	interleukin 18 receptor 1	ok
EVX1	EVX1	2128	even-skipped homeobox 1	ok
HOXB1	HOXB1	3211	homeobox B1	ok
NANOGNB	NANOGNB	360030	NANOG neighbor homeobox	ok
JADE1	JADE1	79960	jade family PHD finger 1	ok
HOXC12	HOXC12	3228	homeobox C12	ok
NPPB	NPPB	4879	natriuretic peptide B	ok
NKX6-2	NKX6-2	84504	NK6 homeobox 2	ok
HOXA4	HOXA4	3201	homeobox A4	ok
ABCC2	ABCC2	1244	ATP binding cassette subfamily C member 2	ok
ZHX1	ZHX1	11244	zinc fingers and homeoboxes 1	ok
HOXB2	HOXB2	3212	homeobox B2	ok
SIX6	SIX6	4990	SIX homeobox 6	ok
MSX1	MSX1	4487	msh homeobox 1	ok
CD300LG	CD300LG	146894	CD300 molecule like family member g	ok
CD300LD	CD300LD	100131439	CD300 molecule like family member d	ok
HAUS2	HAUS2	55142	HAUS augmin like complex subunit 2	ok
CETP	CETP	1071	cholesteryl ester transfer protein	ok
GSTA4	GSTA4	2941	glutathione S-transferase alpha 4	ok
PLEKHB1	PLEKHB1	58473	pleckstrin homology domain containing B1	ok
BTN2A2	BTN2A2	10385	butyrophilin subfamily 2 member A2	ok
HOXD9	HOXD9	3235	homeobox D9	ok
HOXD8	HOXD8	3234	homeobox D8	ok
HOXD3	HOXD3	3232	homeobox D3	ok
HOXC9	HOXC9	3225	homeobox C9	ok
AATK	AATK	9625	apoptosis associated tyrosine kinase	ok
HMX3	HMX3	340784	H6 family homeobox 3	ok
MEOX2	MEOX2	4223	mesenchyme homeobox 2	ok
HOXA9	HOXA9	3205	homeobox A9	ok
GSX2	GSX2	170825	GS homeobox 2	ok
HOXB9	HOXB9	3219	homeobox B9	ok
SLC2A1	SLC2A1	6513	solute carrier family 2 member 1	ok
SNX33	SNX33	257364	sorting nexin 33	ok
SNX21	SNX21	90203	sorting nexin family member 21	ok
HOXA7	HOXA7	3204	homeobox A7	ok
IL9R	IL9R	3581	interleukin 9 receptor	ok
TSHZ1	TSHZ1	10194	teashirt zinc finger homeobox 1	ok
ILK	ILK	3611	integrin linked kinase	ok
ADNP2	ADNP2	22850	ADNP homeobox 2	ok
SIX5	SIX5	147912	SIX homeobox 5	ok
SRGAP1	SRGAP1	57522	SLIT-ROBO Rho GTPase activating protein 1	ok
TXNDC15	TXNDC15	79770	thioredoxin domain containing 15	ok
SSBP1	SSBP1	6742	single stranded DNA binding protein 1	ok
COL6A3	COL6A3	1293	collagen type VI alpha 3 chain	ok
SQLE	SQLE	6713	squalene epoxidase	ok
GCSAM	GCSAM	257144	germinal center associated signaling and motility	ok
EPHA8	EPHA8	2046	EPH receptor A8	ok
YIF1B	YIF1B	90522	Yip1 interacting factor homolog B, membrane trafficking protein	ok
SNTG1	SNTG1	54212	syntrophin gamma 1	ok
IL21R	IL21R	50615	interleukin 21 receptor	ok
PAICS	PAICS	10606	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	ok
EFS	EFS	10278	embryonal Fyn-associated substrate	ok
CYP11A1	CYP11A1	1583	cytochrome P450 family 11 subfamily A member 1	ok
NPR1	NPR1	4881	natriuretic peptide receptor 1	ok
CAV2	CAV2	858	caveolin 2	ok
