compound_id,smiles,addiction_status,compound_name,parent_smiles,inchikey,butina_cluster_id,butina_cluster_type,bbb_MW,bbb_TPSA,bbb_HBD,bbb_HBA,bbb_RotB,bbb_clogP,bbb_rings,bbb_fr_ArRings,bbb_heuristic_score,bbb_permeable_heuristic,bbb_permeable_egg
NEW00785,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,0,PHENTOLAMINE,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,MRBDMNSDAVCSSF-UHFFFAOYSA-N,2062,non-addictive_only,281.35900000000004,47.86,2,4,4,2.840420000000001,3,2,5,1,1
NEW00784,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,0,LOFEXIDINE,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,KSMAGQUYOIHWFS-UHFFFAOYSA-N,2063,non-addictive_only,259.13599999999997,33.62,1,3,3,2.7624000000000004,2,1,5,1,1
NEW00782,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,0,ROSIGLITAZONE,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,YASAKCUCGLMORW-UHFFFAOYSA-N,2065,non-addictive_only,357.435,71.53,1,6,7,2.490900000000001,3,2,5,1,1
NEW00781,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,0,PIOGLITAZONE,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,HYAFETHFCAUJAY-UHFFFAOYSA-N,2066,non-addictive_only,356.44700000000006,68.28999999999999,1,5,7,3.159600000000001,3,2,5,1,1
NEW00780,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21,0,EMEDASTINE,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21,KBUZBQVCBVDWKX-UHFFFAOYSA-N,2067,non-addictive_only,302.422,33.53,0,5,5,2.2146999999999997,3,2,5,1,1
NEW00779,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,0,DELAVIRDINE,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,WHBIGIKBNXZKFE-UHFFFAOYSA-N,2068,non-addictive_only,456.5720000000002,110.43,3,6,6,2.7171000000000003,4,3,3,1,0
NEW00776,CC1=CC(=O)c2ccccc2C1=O,0,MENADIONE,CC1=CC(=O)c2ccccc2C1=O,MJVAVZPDRWSRRC-UHFFFAOYSA-N,2069,non-addictive_only,172.18299999999996,34.14,0,2,0,2.0119000000000002,2,1,5,1,1
NEW00775,CCCN(CCC)CCc1cccc2c1CC(=O)N2,0,ROPINIROLE,CCCN(CCC)CCc1cccc2c1CC(=O)N2,UHSKFQJFRQCDBE-UHFFFAOYSA-N,2070,non-addictive_only,260.3809999999999,32.34,1,2,7,2.845700000000001,2,1,5,1,1
NEW00774,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,0,FENOLDOPAM,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,TVURRHSHRRELCG-UHFFFAOYSA-N,2071,non-addictive_only,305.76099999999997,72.72,4,4,1,2.734400000000001,3,2,4,1,1
NEW00773,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,0,TRIMETREXATE,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,NOYPYLRCIDNJJB-UHFFFAOYSA-N,2072,non-addictive_only,369.4250000000001,117.54,3,8,6,2.740520000000001,3,3,3,1,0
