source,target,weight,interaction,addiction_status,compound_name
MYO6,MYO1C,0.916,PPI,NA,NA
MYO6,ACTG1,0.837,PPI,NA,NA
MYO6,MYL6B,0.834,PPI,NA,NA
MYO6,MYL6,0.814,PPI,NA,NA
MYO6,ACTB,0.772,PPI,NA,NA
MYO6,TMPRSS3,0.737,PPI,NA,NA
LMTK2,MYO6,0.751,PPI,NA,NA
STARD4,PCTP,0.94,PPI,NA,NA
HBS1L,RPS5,0.917,PPI,NA,NA
HBS1L,RPS19,0.894,PPI,NA,NA
HBS1L,RPL17,0.856,PPI,NA,NA
PABPC1,LARP4,0.992,PPI,NA,NA
PABPC1,PAN3,0.96,PPI,NA,NA
PABPC1,SMG7,0.945,PPI,NA,NA
PABPC1,LARP1,0.922,PPI,NA,NA
PABPC1,PABPC4,0.87,PPI,NA,NA
PABPC1,RPS19,0.816,PPI,NA,NA
PABPC1,RAE1,0.806,PPI,NA,NA
SLC2A2,SLC2A1,0.906,PPI,NA,NA
SLC2A2,NKX6-2,0.835,PPI,NA,NA
SLC2A2,SLC5A2,0.828,PPI,NA,NA
SLC2A2,ABCC8,0.809,PPI,NA,NA
SLC2A2,NKX2-2,0.755,PPI,NA,NA
NKX6-1,SLC2A2,0.862,PPI,NA,NA
NKX6-1,TLE3,0.764,PPI,NA,NA
ABI2,CYFIP1,0.999,PPI,NA,NA
ABI2,ABI1,0.996,PPI,NA,NA
ABI2,ABL1,0.981,PPI,NA,NA
ABI2,BAIAP2,0.97,PPI,NA,NA
ABI2,NCK1,0.818,PPI,NA,NA
ABI2,BCAR1,0.737,PPI,NA,NA
MARK2,MARK3,0.804,PPI,NA,NA
MARK2,MARK1,0.743,PPI,NA,NA
COL12A1,COL6A1,0.781,PPI,NA,NA
COL6A3,COL6A1,0.994,PPI,NA,NA
COL6A3,COL6A2,0.994,PPI,NA,NA
COL6A3,COL3A1,0.952,PPI,NA,NA
COL6A3,COL12A1,0.788,PPI,NA,NA
COL6A3,ITGA4,0.737,PPI,NA,NA
PKDCC,POMK,0.746,PPI,NA,NA
PPP1R21,HMX3,0.782,PPI,NA,NA
RHD,CD47,0.944,PPI,NA,NA
SEC31A,SAR1B,0.995,PPI,NA,NA
PTGER1,PTGS2,0.753,PPI,NA,NA
PTGER1,PTGS1,0.714,PPI,NA,NA
