pathway_id,pathway_name,mean_E_drug,mean_E_comp,frac_tilt_edrug,frac_tilt_ecomp,n_drugs_addictive,n_drugs_nonaddictive,n_add_p,n_non_p,n_add_drugs,n_non_drugs,p_value_drug,p_value_comp,FDR_drug,FDR_comp
KEGG:hsa05100,Bacterial invasion of epithelial cells,0.6008105369807497,0.21821175278622085,0.8267477203647416,0.8267477203647416,116,213,6,8,116,213,9.216310857163692e-15,8.321968523267693e-06,5.72075511764485e-14,1.5598319658930323e-05
KEGG:hsa05110,Vibrio cholerae infection,0.370020964360587,0.189937106918239,0.6918238993710691,0.6918238993710691,48,111,5,5,48,111,2.9501762945504805e-07,2.212390222247782e-05,7.182584688852584e-07,3.9111898571880436e-05
KEGG:hsa05120,Epithelial cell signaling in Helicobacter pylori infection,0.5597977243994943,0.3749716360335829,0.7817109144542773,0.7876106194690266,149,190,4,13,149,190,9.353426145932987e-15,2.80905052182062e-12,5.779830147576527e-14,1.4264654276076214e-11
KEGG:hsa05130,Pathogenic Escherichia coli infection,0.4919590643274854,0.21842105263157893,0.7456140350877193,0.7456140350877193,66,162,6,5,66,162,9.87807322390273e-08,1.566025133017243e-10,2.520737944914437e-07,5.983864455634308e-10
KEGG:hsa05131,Shigellosis,0.6137387387387387,0.25317362817362815,0.8108108108108109,0.8175675675675675,97,199,6,11,97,199,3.585639837457177e-09,2.7607436168643363e-05,1.0859366364870309e-08,4.818028523662279e-05
KEGG:hsa05132,Salmonella infection,0.550441400304414,0.22794520547945202,0.7753424657534247,0.7917808219178082,115,250,6,20,115,250,1.2475503395058062e-13,5.881065534416153e-10,6.586683401681996e-13,2.013987536785909e-09
KEGG:hsa05134,Legionellosis,0.15,0.500625,0.5625,0.5875,39,121,1,10,39,121,3.999242243810267e-10,1.7161322943508919e-09,1.3441355638952557e-09,5.481075487873698e-09
KEGG:hsa05140,Leishmaniasis,0.0400278940027894,0.22205618649133294,0.4811715481171548,0.5732217573221757,56,183,2,14,56,183,2.4803929043041904e-16,2.6185652149435447e-15,1.8277975519418047e-15,2.1034791706065597e-14
KEGG:hsa05142,Chagas disease (American trypanosomiasis),0.7870487200440399,0.22962069997951431,0.9126365054602185,0.9173166926677067,249,392,11,18,249,392,5.302252493211253e-18,0.0009885426145442413,4.806910483977044e-17,0.0013128328137057058
KEGG:hsa05143,African trypanosomiasis,0.7914893617021277,0.7914893617021277,0.8808510638297873,0.8808510638297873,124,111,1,1,124,111,2.9262187519052905e-09,2.9262187519052905e-09,8.940863503604191e-09,9.078781255911286e-09
KEGG:hsa05144,Malaria,0.6339869281045751,0.36655773420479304,0.8071895424836601,0.826797385620915,142,164,2,3,142,164,2.2858605433419066e-15,2.9008961746441736e-10,1.551682674248841e-14,1.0460516338369223e-09
KEGG:hsa05145,Toxoplasmosis,0.6328182487122885,0.21456953642384108,0.8057395143487859,0.8344370860927153,184,269,5,20,184,269,4.211840079525386e-17,2.430280718409741e-08,3.3941027073602234e-16,6.59993940735214e-08
KEGG:hsa05146,Amoebiasis,0.6634717784877529,0.30063897763578273,0.8562300319488818,0.865814696485623,113,200,4,10,113,200,6.259651183365646e-13,1.1372775517752e-05,3.0160137519852657e-12,2.0885248800728376e-05
KEGG:hsa05150,Staphylococcus aureus infection,0.9437689969604863,0.5881458966565349,0.9726443768996961,0.9696048632218845,159,170,6,1,159,170,0.0019416446069041686,2.798792068486109e-12,0.002771615432052088,1.4264654276076214e-11
KEGG:hsa05152,Tuberculosis,0.5648236349830883,0.14572260187294356,0.7790432801822323,0.7995444191343963,151,288,8,27,151,288,2.3143954289117246e-16,5.384245079523344e-10,1.7287948921484739e-15,1.8614104417780704e-09
KEGG:hsa05160,Hepatitis C,0.6916059379217274,0.15837320574162678,0.8616541353383459,0.8676691729323308,224,441,16,22,224,441,2.011374272644963e-17,2.1235294068745648e-14,1.7004133421501588e-16,1.5213970553200006e-13
KEGG:hsa05161,Hepatitis B,0.7290384615384616,0.16173076923076923,0.8846153846153846,0.8942307692307693,204,316,8,15,204,316,6.848682376166338e-19,0.0044083661806456126,6.7895570606886424e-18,0.0052181638812207306
KEGG:hsa05162,Measles,0.560579951825088,0.23509727626459145,0.7821011673151751,0.8190661478599222,194,320,5,25,194,320,3.2974347828709304e-26,5.2416139445475574e-05,6.585311783762525e-25,8.661786928091487e-05
KEGG:hsa05164,Influenza A,0.6871962062833431,0.1826590594744122,0.8589211618257261,0.8734439834024896,167,315,8,18,167,315,9.478698190537263e-17,6.560572159449166e-09,7.379461077152739e-16,1.9414301852282994e-08
KEGG:hsa05166,HTLV-I infection,0.6209081194261313,0.08002807406112179,0.813953488372093,0.8333333333333334,278,496,19,28,278,496,1.0274213640671731e-29,2.6202142118738002e-18,2.6218271105269716e-28,3.035546039075073e-17
KEGG:hsa05168,Herpes simplex infection,0.03333333333333333,0.21279461279461281,0.49696969696969695,0.5515151515151515,35,130,2,18,35,130,2.0153070836963058e-11,2.7999812011326828e-08,7.980152762452614e-11,7.54747407929082e-08
KEGG:hsa05169,Epstein-Barr virus infection,0.5030576441102756,0.25875378100423474,0.7719298245614035,0.7964912280701755,90,195,5,29,90,195,7.906755851233509e-13,1.259033742899502e-10,3.7700725131487105e-12,4.914292996478702e-10
KEGG:hsa05200,Pathways in cancer,0.5163391242478088,0.14186563975980823,0.7732181425485961,0.787257019438445,274,652,35,52,274,652,1.1984585159537337e-35,2.8408322474700068e-42,5.327341403174984e-34,3.867082896868546e-40
KEGG:hsa05202,Transcriptional misregulation in cancer,0.07233847283406755,0.1682061484534129,0.5198237885462555,0.5572687224669604,158,296,3,31,158,296,8.343781792040377e-41,1.1801845710974328e-36,6.05143753127981e-39,7.560123517206497e-35
KEGG:hsa05203,Viral carcinogenesis,0.6791666666666666,0.19015522875816993,0.8492647058823529,0.8621323529411765,219,325,9,18,219,325,4.518574528022237e-19,4.9974307924442953e-26,4.544960364682222e-18,9.547723040301469e-25
KEGG:hsa05205,Proteoglycans in cancer,0.543350311262026,0.1081447715984109,0.7724957555178268,0.8251273344651953,192,397,13,31,192,397,1.752163683061637e-22,1.3842980695963117e-17,2.4637566890397304e-21,1.5227278765559428e-16
KEGG:hsa05206,MicroRNAs in cancer,0.3709577114427861,0.13606310552500656,0.667910447761194,0.7126865671641791,165,371,6,19,165,371,3.2770750523792886e-22,6.148221742891612e-14,4.3842809924064654e-21,3.9853651654815274e-13
KEGG:hsa05210,Colorectal cancer,0.5669354838709677,0.4368279569892473,0.8104838709677419,0.8306451612903226,89,159,3,12,89,159,5.032557182753316e-13,2.583597681601914e-06,2.4418534499415736e-12,5.200624538381672e-06
KEGG:hsa05211,Renal cell carcinoma,0.2841880341880342,0.6116938616938616,0.6794871794871795,0.6837606837606838,66,168,2,11,66,168,6.10422828471493e-14,1.039986479672072e-13,3.3379470541020526e-13,6.434916342970945e-13
KEGG:hsa05212,Pancreatic cancer,0.3704320987654321,0.2297076023391813,0.7055555555555556,0.7222222222222222,111,249,5,19,111,249,4.533129800408386e-16,3.5927621074186975e-10,3.2704988821794527e-15,1.2744358094394012e-09
KEGG:hsa05213,Endometrial cancer,0.36048265460030166,0.6380090497737556,0.7194570135746606,0.7239819004524887,69,152,2,10,69,152,2.0635508258880168e-10,7.461446812749399e-11,7.254012852228793e-10,3.0094502144755907e-10
KEGG:hsa05214,Glioma,0.40413793103448276,0.32214854111405833,0.7344827586206897,0.7413793103448276,86,204,4,13,86,204,6.7636436200696426e-12,2.289213994279796e-12,2.832918209257133e-11,1.2043256230776318e-11
KEGG:hsa05215,Prostate cancer,0.5634245187436676,0.16205971750402287,0.8,0.8085106382978723,167,303,7,17,167,303,6.797021745923655e-15,9.589843468600589e-10,4.276847473005843e-14,3.233232054893511e-09
KEGG:hsa05217,Basal cell carcinoma,0.8981132075471698,0.1761006289308176,0.9471698113207547,0.9471698113207547,113,152,6,1,113,152,0.00094569579292413,0.00018868077336962072,0.001404276726992943,0.0002885861828644901
KEGG:hsa05218,Melanoma,0.4728038507821901,0.3372872614749871,0.7689530685920578,0.776173285198556,86,191,4,14,86,191,8.81031428448929e-10,2.1025493557213801e-10,2.883756076965853e-09,7.876762349215765e-10
KEGG:hsa05220,Chronic myeloid leukemia,0.5573966263621436,0.2619725102483723,0.8056426332288401,0.8150470219435737,107,212,5,13,107,212,1.502899571859334e-13,4.4620430553085954e-07,7.815077773668536e-13,1.0360692723307164e-06
KEGG:hsa05221,Acute myeloid leukemia,0.20242914979757085,0.5748987854251012,0.6396761133603239,0.6477732793522267,67,180,2,12,67,180,6.445526318366769e-15,1.102026094490871e-14,4.074282232435508e-14,8.334072339587212e-14
KEGG:hsa05222,Small cell lung cancer,0.46618357487922707,0.20382757339279078,0.7594202898550725,0.7594202898550725,101,244,6,13,101,244,4.921991178175577e-15,5.961474982067937e-10,3.229763735012355e-14,2.028764454834995e-09
KEGG:hsa05223,Non-small cell lung cancer,0.21279761904761904,0.2742471988795518,0.6309523809523809,0.6398809523809523,88,248,4,17,88,248,7.715610836360883e-15,3.3768982195360177e-15,4.810910286201492e-14,2.6842643511494328e-14
KEGG:hsa05224,Breast cancer,0.7542443064182195,0.12251303683528748,0.889751552795031,0.8975155279503105,216,428,11,17,216,428,4.038320835234931e-10,6.868132698863337e-11,1.3539674235897164e-09,2.80127210077235e-10
