source,target,weight,interaction,addiction_status,compound_name
SLC2A2,SLC2A1,0.906,PPI,,
SLC2A2,NKX6-2,0.835,PPI,,
SLC2A2,SLC5A2,0.828,PPI,,
SLC2A2,ABCC8,0.809,PPI,,
SLC2A2,NKX2-2,0.755,PPI,,
NKX6-1,SLC2A2,0.862,PPI,,
NKX6-1,TLE3,0.764,PPI,,
ABI2,CYFIP1,0.999,PPI,,
ABI2,ABI1,0.996,PPI,,
ABI2,ABL1,0.981,PPI,,
ABI2,BAIAP2,0.97,PPI,,
ABI2,NCK1,0.818,PPI,,
ABI2,BCAR1,0.737,PPI,,
MARK2,MARK3,0.804,PPI,,
MARK2,MARK1,0.743,PPI,,
COL12A1,COL6A1,0.781,PPI,,
COL6A3,COL6A1,0.994,PPI,,
COL6A3,COL6A2,0.994,PPI,,
COL6A3,COL3A1,0.952,PPI,,
COL6A3,COL12A1,0.788,PPI,,
COL6A3,ITGA4,0.737,PPI,,
PKDCC,POMK,0.746,PPI,,
PPP1R21,HMX3,0.782,PPI,,
RHD,CD47,0.944,PPI,,
SEC31A,SAR1B,0.995,PPI,,
PTGER1,PTGS2,0.753,PPI,,
PTGER1,PTGS1,0.714,PPI,,
PTGER1,PTGES,0.714,PPI,,
PTGER1,ADRB2,0.704,PPI,,
S100A1,S100P,0.858,PPI,,
S100A1,TLR4,0.836,PPI,,
S100A1,S100A2,0.812,PPI,,
S100A1,S100A4,0.807,PPI,,
S100A1,CALML3,0.712,PPI,,
PKN2,AKT1,0.816,PPI,,
PKN2,RPS6KA1,0.761,PPI,,
PKN2,NCK1,0.748,PPI,,
PSKH1,DCX,0.85,PPI,,
PSKH1,SLC12A4,0.83,PPI,,
NEXN,CTTN,0.834,PPI,,
RALGDS,MAPK8,0.915,PPI,,
RALGDS,MAPK9,0.903,PPI,,
CACNB3,CACNA2D1,0.995,PPI,,
CACNB3,CACNA1S,0.963,PPI,,
CACNB3,CACNB2,0.961,PPI,,
CACNB3,CACNA2D2,0.869,PPI,,
CACNB3,GUK1,0.836,PPI,,
CACNB3,STAC3,0.74,PPI,,
CACHD1,CACNA1S,0.761,PPI,,
CACHD1,CACNA1A,0.757,PPI,,
CACHD1,CACNB3,0.7,PPI,,
ARHGAP17,TRIP10,0.952,PPI,,
ARHGAP17,SH3KBP1,0.828,PPI,,
MYO1A,ACTG1,0.926,PPI,,
MYO1A,MYO1C,0.909,PPI,,
MYO1A,ACTB,0.733,PPI,,
ATG16L2,ULK2,0.785,PPI,,
WIPI2,ULK1,0.944,PPI,,
WIPI2,ULK2,0.928,PPI,,
WIPI2,PIK3R4,0.892,PPI,,
ERC2,CALML3,0.889,PPI,,
PDE4D,PRKACB,0.919,PPI,,
PDE4B,PRKACB,0.846,PPI,,
PDE4B,PDE4D,0.757,PPI,,
SLC2A5,CA6,0.866,PPI,,
RBFA,METTL15,0.957,PPI,,
RBFA,TFB1M,0.919,PPI,,
RBFA,MRPS16,0.843,PPI,,
RAB25,CHML,0.742,PPI,,
TMEM86B,PLA2G6,0.727,PPI,,
GDPD1,TMEM86B,0.905,PPI,,
GDPD1,PLA2G4A,0.78,PPI,,
GDPD1,PLA2G4C,0.719,PPI,,
GDPD1,LPAR6,0.704,PPI,,
GDPD1,PLA2G6,0.701,PPI,,
AGPAT2,DGKA,0.758,PPI,,
AGPAT2,DGKB,0.727,PPI,,
AGPAT2,PBX3,0.711,PPI,,
DGKE,AGPAT2,0.729,PPI,,
HOMER1,SHANK2,0.937,PPI,,
HOMER1,TRPC1,0.88,PPI,,
HOMER1,GPHN,0.733,PPI,,
HOMER1,NRXN1,0.706,PPI,,
OXTR,CACNA1S,0.782,PPI,,
TMED7-TICAM2,MYD88,0.795,PPI,,
FARSA,LRRC47,0.969,PPI,,
FARSB,FARSA,0.999,PPI,,
FARSB,IARS2,0.805,PPI,,
PPRC1,PLRG1,0.825,PPI,,
PPRC1,TFB2M,0.76,PPI,,
PPRC1,TFB1M,0.722,PPI,,
SH2B3,JAK2,0.988,PPI,,
SH2B3,NTRK3,0.927,PPI,,
SH2B3,NTRK1,0.916,PPI,,
SH2B3,THPO,0.79,PPI,,
NTSR2,NTSR1,0.949,PPI,,
PCTP,SLC38A5,0.837,PPI,,
MFHAS1,PPP1R3B,0.929,PPI,,
RIPPLY1,TLE4,0.798,PPI,,
RIPPLY1,TLE3,0.745,PPI,,
SH3KBP1,PIK3R1,0.857,PPI,,
SH3KBP1,ARHGAP27,0.769,PPI,,
SH3KBP1,BCAR1,0.745,PPI,,
SH3KBP1,BTK,0.731,PPI,,
SH3KBP1,LYN,0.702,PPI,,
SH3GL2,SH3KBP1,0.938,PPI,,
SH3GL2,SNX9,0.869,PPI,,
SH3GL2,ARHGAP8,0.8,PPI,,
TNK2,NCK1,0.863,PPI,,
TNK2,SNX9,0.769,PPI,,
TNK2,AKT1,0.745,PPI,,
TNK2,BCAR1,0.724,PPI,,
TNK2,MCF2,0.707,PPI,,
ESRRB,PCSK6,0.7,PPI,,
PTK2B,BCAR1,0.998,PPI,,
PTK2B,LYN,0.99,PPI,,
PTK2B,JAK3,0.942,PPI,,
SH2B1,JAK2,0.992,PPI,,
SH2B1,NTRK1,0.99,PPI,,
SH2B1,SH2B3,0.916,PPI,,
SH2B1,NTRK3,0.906,PPI,,
STAP2,MYD88,0.751,PPI,,
ITSN2,EPHB2,0.811,PPI,,
SLC18B1,SLC16A1,0.833,PPI,,
CARD11,CARD14,0.92,PPI,,
