compound_id,smiles,addiction_status,compound_name,parent_smiles,inchikey,butina_cluster_id,butina_cluster_type,bbb_MW,bbb_TPSA,bbb_HBD,bbb_HBA,bbb_RotB,bbb_clogP,bbb_rings,bbb_fr_ArRings,bbb_heuristic_score,bbb_permeable_heuristic,bbb_permeable_egg
NEW00092,C[C@@H](CC1=CC=CC=C1)NC,1,Methamphetamine,CN[C@@H](C)Cc1ccccc1,MYWUZJCMWCOHBA-VIFPVBQESA-N,2609,addictive_only,149.237,12.03,1,1,3,1.837,1,1,5,1,1
NEW00091,CC(CC(C#N)(C1=CC=CC=C1)C2=CC=CC=C2)N(C)C,1,Methadone intermediate (4-cyano-2-dimethylamino-4 4 diphenylbutane),CC(CC(C#N)(c1ccccc1)c1ccccc1)N(C)C,GJJQIGFCGLPOQK-UHFFFAOYSA-N,2610,addictive_only,278.39900000000006,27.03,0,2,5,3.8364800000000026,2,2,5,1,1
NEW00090,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,1,Methadone,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,USSIQXCVUWKGNF-UHFFFAOYSA-N,2611,addictive_only,309.45300000000003,20.310000000000002,0,2,7,4.292000000000004,2,2,5,1,1
NEW00089,CC1[C@H]2CC3=C([C@@]1(CCN2C)C)C=C(C=C3)O,1,Metazocine,CC1[C@H]2Cc3ccc(O)cc3[C@]1(C)CCN2C,YGSVZRIZCHZUHB-VRFXOJNMSA-N,2612,addictive_only,231.33899999999994,23.47,1,2,0,2.5462000000000007,3,1,5,1,1
NEW00087,C[C@H]1CC(=O)C[C@H]2[C@]1([C@H]3CC[C@]4([C@H]([C@@H]3CC2)CC[C@@H]4O)C)C,1,Mesterolone (1α-methyl-17β-hydroxy-5α-androstan-3 one),C[C@H]1CC(=O)C[C@@H]2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@]21C,UXYRZJKIQKRJCF-TZPFWLJSSA-N,2613,addictive_only,304.47400000000005,37.3,1,2,0,4.205100000000003,4,0,5,1,1
NEW00086,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,1,Mestanolone (17α-methyl-17β-hydroxy-5α-androstan-3 one),C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,WYZDXEKUWRCKOB-YDSAWKJFSA-N,2614,addictive_only,304.47400000000005,37.3,1,2,0,4.349200000000005,4,0,5,1,1
NEW00085,CC(CC1=CC=CC=C1)[N+]2=NOC(=C2)/N=C(/NC3=CC=CC=C3)\[O-],1,Mesocarb (N-phenyl-N'-(3-(1-phenylpropan-2-yl)-1 2 3 oxadiazol-3-ium-5-yl)carbamimidate),CC(Cc1ccccc1)[n+]1cc(/N=C(\[O-])Nc2ccccc2)on1,OWFUPROYPKGHMH-UHFFFAOYSA-N,2615,addictive_only,322.368,77.36,1,4,5,2.2257,3,3,5,1,1
NEW00084,COC1=CC(=CC(=C1OC)OC)CCN,1,Mescaline,COc1cc(CCN)cc(OC)c1OC,RHCSKNNOAZULRK-UHFFFAOYSA-N,2616,addictive_only,211.261,53.71000000000001,1,4,5,1.2136000000000002,1,1,5,1,1
NEW00083,CCCC(C)(COC(=O)N)COC(=O)N,1,Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,NPPQSCRMBWNHMW-UHFFFAOYSA-N,2617,addictive_only,218.25299999999996,104.63999999999999,2,4,6,0.9834000000000005,0,0,4,1,0
NEW00082,CC1=CC=C(C=C1)C(=O)C(C)NC,1,Mephedrone (4-Methyl-N-methylcathinone),CNC(C)C(=O)c1ccc(C)cc1,YELGFTGWJGBAQU-UHFFFAOYSA-N,2618,addictive_only,177.24699999999999,29.1,1,2,3,1.7856199999999998,1,1,5,1,1
NEW00081,CCOC(=O)C1(CCNCC1)C2=CC=CC=C2,1,Meperidine intermediate-B,CCOC(=O)C1(c2ccccc2)CCNCC1,QKHMFBKXTNQCTM-UHFFFAOYSA-N,2619,addictive_only,233.31099999999995,38.33,1,3,3,1.8709,2,1,5,1,1
